"id","promotion","tri","nom","prenom","sexe","titre","notBefore","notAfter","authorKey","authorRef","ppn_position","ppn_these","an_these"
"201416","2014","persi","Persi-Pivetti","Viviana","2","La réglementation du marché et le contrôle du commerce à Paris et à Rome, fin <abbr>xvii</abbr><sup>e</sup>-début <abbr>xviii</abbr><sup>e</sup> siècle","1661","1750","201416_persi","177828331","","177828137",""
"201417","2014","ramondenc","Ramondenc","Erwann","1","Dynamiques agraires et peuplement : modélisation et étude des graphes des registres fiscaux de Saint-Félix-de-Sorgues (Aveyron) dans la première moitié du <abbr>xv</abbr><sup>e</sup> siècle","1400","1450","201417_ramondenc","176247726","","176247432",""
"201418","2014","rodriguez","Rodriguez","Lucile","2","La correspondance entre Ismaÿl Urbain et Frédéric Lacroix (janvier 1861-10 octobre 1863). Analyse et édition critique","1861","1863","201418_rodriguez","176299068","","176298916",""
"201419","2014","royal","Royal","François","1","La guerre des glaces : étude des quartiers d’hiver de l’armée de Flandre (octobre 1711-avril 1712)","1711","1712","201419_royal","17642024X","","176420118",""
"201420","2014","schneider","Schneider","Philippe","1","La popularité de Lafayette aux États-Unis et en France de 1824 à 1834","1824","1834","201420_schneider","176299661","","176299378",""
"201421","2014","seillan","Seillan","Aude","2","David II Gradis (1742-1811) et son entourage : écritures. Édition critique et commentaire","1742","1811","201421_seillan","176300228","","176300031",""
"201422","2014","sidre","Sidre","Colin","1","Une histoire du jeu vidéo en France : l'objet vidéoludique et ses réseaux de distribution (1974-1988)","1974","1988","201422_sidre","176291296","","176291148",""
"201423","2014","souvre","Souvré","Amandine","2","L'œuvre des haras, entre amélioration animale et création architecturale : l'implantation du dépôt d'étalons de Cluny (premier quart du <abbr>xix</abbr><sup>e</sup> siècle)","1800","1825","201423_souvre","176292691","","176291849",""
"201424","2014","torres","Torres","Louisa","2","« Arripui calamum… » : les épîtres métriques latines de Giovanni Moccia. Édition et traduction","1375","1400","201424_torres","17630259X","","176302506",""
"201425","2014","tur","Tur","Alexandre","1","À l'entrée du Soleil en Bélier : les prédictions astrologiques annuelles latines dans l'Europe du <abbr>xv</abbr><sup>e</sup> siècle (1405-1484)","1405","1484","201425_tur","176246762","","176246568",""
"201426","2014","vermander","Vermander","Pierre","1","Le texte et la voix : l’interjection dans l’ancienne farce française","1200","1500","201426_vermander","176298436","","176298347",""
"201427","2014","vidal","Vidal","Manon","2","Jacques-Guillaume Legrand (1753-1807) : pratique, théorie et histoire de l'architecture à la fin du <abbr>xviii</abbr><sup>e</sup> siècle","1753","1807","201427_vidal","176306595","","176304096",""
"201428","2014","zettel","Zettel","Hélène","2","De Rome à la Réforme : le chapitre Saint-Thomas de Strasbourg (1523-1549)","1523","1549","201428_zettel","176331360","","176331344",""
"201301","2013","antonini","Antonini","Pauline","2","Le costume à la cour de François I<sup>er</sup> : luxe et apparat à la Renaissance","1515","1547","201301_antonini","167724118","","16772360X",""
"201302","2013","arioli","Arioli","Emanuele","1","Ségurant ou le Chevalier au Dragon : roman arthurien inédit (<abbr>xiii</abbr><sup>e</sup>-<abbr>xv</abbr><sup>e</sup> siècle)","1200","1499","201302_arioli","167813153","","167812955",""
"201303","2013","bernard","Bernard","Thomas","1","Un administrateur éclairé au « caractère original » : le général Fornier d'Albe (1769-1814)","1769","1814","201303_bernard","167815598","","167815377",""
"201304","2013","boissiere","Boissière","Marie","2","La correspondance du docteur Pierre-Fidèle Bretonneau (1778-1862). Édition critique et commentaire ","1778","1862","201304_boissiere","159142881","","167769472",""
"201305","2013","boully","Boully","Vincent","1","Entre liberté d’entreprendre et surveillance par l’État : les salines de Franche-Comté dans la seconde moitié du <abbr>xix</abbr><sup>e</sup> siècle (1840-1907)","1840","1907","201305_boully","167814532","","167814311",""
"201306","2013","cherbuy","Cherbuy","Elsa","2","L'Opéra de la rue Le Peletier (1821-1873) : architecte, genèse, programme","1821","1873","201306_cherbuy","167819356","","167819216",""
"201307","2013","degoy","Degoy","Axel","1","Représentation du roi et pouvoir de « faire loy » : enquête sur l’activité « réglementaire » du parlement de Paris sous Charles VI et Henri VI de Lancastre (1380-1436)","1380","1436","201307_degoy","167719750","","167719513",""
"201308","2013","delpu","Delpu","Fabien","1","Aux sources d'une armée permanente : édition critique et commentaire des ordonnances militaires de Charles le Téméraire (1471-1476)","1471","1476","201308_delpu","167725971","","167725653",""
"201309","2013","ducom","Ducom","Pauline","2","Clive Bell et la France « Art, love and thought » (1904-1939)","1904","1939","201309_ducom","167810200","","16781009X",""
"201310","2013","dupuis","Dupuis","Aurélien","1","Dans l’ombre de Napoléon : le général Bertrand après la chute de l'Empire (1815-1844)","1815","1844","201310_dupuis","167820842","","167820729",""
"201311","2013","lacam","Lacam","Emmanuel","1","Entre Rome et Madrid, un réformateur janséniste dans l’Europe méditerranéenne : correspondances et voyages d'un intermédiaire culturel, l'abbé Jean-Charles Augustin Clément (1754-1771)","1754","1771","201311_lacam","167763121","","167762753",""
"201312","2013","lapotre","Lapôtre","Raphaëlle","2","Le mariage devant le juge : droit matrimonial et pratique dans le Beauvaisis (<abbr>xvii</abbr><sup>e</sup>-<abbr>xviii</abbr><sup>e</sup> siècles)","1600","1799","201312_lapotre","167727117","","167726870",""
"201313","2013","le-roch-morgere","Le Roc'h-Morgère","Mathilde","2","Devenir imprimeur-libraire en Basse-Normandie au <abbr>xviii</abbr><sup>e</sup> siècle : les stratégies de la maison Chalopin","1700","1799","201313_le-roch-morgere","167721593","","167721275",""
"201314","2013","lefort","Lefort","Guillemette","2","Négocier avec la Suède : les enjeux d'une alliance lors de la guerre de Trente ans. Étude et édition critique des instructions aux ambassadeurs et envoyés français (1630-1636)","1630","1636","201314_lefort","167764845","","167764489",""
"201315","2013","longequeue","Longequeue","Hortense","2","L’éloquence du pinceau : écritures peintes et livres d’artiste dans l’œuvre de Jean Cortot","1925","","201315_longequeue","167717820","","167717685",""
"201316","2013","mayaud","Mayaud","Guy","1","L’érudition héraldique au <abbr>xvii</abbr><sup>e</sup> siècle : la question des origines des armoiries","1600","1699","201316_mayaud","167707345","","167707027",""
"201317","2013","mestre","Mestre","Armelle","2","Suicide et société rurale : la mort volontaire au <abbr>xviii</abbr><sup>e</sup> siècle en Eure et en Eure-et-Loir","1700","1799","201317_mestre","167821555","","167821326",""
"201318","2013","queffelec","Queffélec","Cécile","2","Des « messes théâtrales » au Concert spirituel : chanteuses laïques et musique religieuse à Paris au <abbr>xviii</abbr><sup>e</sup> siècle","1700","1799","201318_queffelec","167768530","","167768301",""
"201319","2013","rebours","Rebours","Camille","2","« Lorsque le mot Fin apparaissait dans la marguerite, la lumière se rallumait. Alors tous les yeux de l’état-major se tournaient vers Léon Gaumont » : Léon Gaumont, un pionnier méconnu du cinéma (1864-1929)","1864","1929","201319_rebours","16781088X","","167810723",""
"201320","2013","saffre","Saffré","Romain","1","La banque della Casa et le Languedoc (1439-1452) : commerce et fiscalité pontificale","1439","1452","201320_saffre","167812343","","167811606",""
"201321","2013","spinec","Spinec","Morgane","2","« Dans l’arrière scène des seuls comédiens du roy » : pour une édition des feuillets d’assemblée (1682-1706)","1682","1706","201321_spinec","167767038","","167765256",""
"201322","2013","susini","Susini","Baptiste","1","Le scotisme de Himbert de Garda O.F.M. (<abbr>xiv</abbr><sup>e</sup> siècle) : édition commentée de son premier livre du Commentaire du Livre des Sentences","1300","1399","201322_susini","167763946","","16776375X",""
"201323","2013","tisseau-des-escotais","Tisseau des Escotais","Aleth","2","Le Garde-Meuble sous la Révolution et l’Empire (1792-1815) : une institution royale en contexte républicain puis impérial","1792","1815","201323_tisseau-des-escotais","167819844","","167819712",""
"201324","2013","tisserant","Tisserant","Clément","1","L’œuvre juridique du doctor tholosanus Pierre Hélie (milieu du <abbr>xiv</abbr><sup>e</sup> siècle) : édition critique et commentaire du traité sur l’emphytéose","1300","1399","201324_tisserant","167716662","","167716425",""
"201325","2013","zelverte","Zelverte","Marine","2","La « Réformation des Halles » : un lotissement royal à Paris (1543-1572)","1543","1572","201325_zelverte","167768980","","167768816",""
"201201","2012","anciaux","Anciaux","Camille","2","Entre diplomatie et administration des pays conquis. Édouard Bignon, du Directoire aux Cent-Jours","1795","1815","201201_anciaux","159123658","","15912364X",""
"201202","2012","anfray","d’Anfray","Benjamin","1","Henri Delescluze à Belle-Île (1850-1853). Écrits de prison. Édition critique","1850","1853","201202_anfray","159123070","","159123054",""
"201203","2012","bernard","Bernard","Marion","2","Les « mestiers touchans habillemens de guerre ». Armuriers et fourbisseurs d’épées parisiens à la fin du Moyen Âge","1200","1499","201203_bernard","159057299","","15905723X",""
"201204","2012","bloche","Bloche","Michaël","1","Le chartrier de l’abbaye de la Trinité de Fécamp (928/929-1190). Étude et édition critique","928","1190","201204_bloche","159055849","","159055660",""
"201205","2012","bouchareb","Bouchareb","Hind","2","La lecture publique en débat (1918-1945)","1918","1945","201205_bouchareb","159123844","","159123828",""
"201206","2012","brissaud","Brissaud","Olivia","2","Le principe d’inaliénabilité à l’épreuve de la Révolution française. La perception de l’œuvre d’art à travers les sélections patrimoniales : objet de commerce ou <i>res sacra</i> ?","1790","1810","201206_brissaud","159123739","","159123720",""
"201207","2012","deldicque","Deldicque","Mathieu","1","Entre Moyen Âge et Renaissance ? La commande artistique de l’amiral Louis Malet de Graville (v. 1440-1516)","1440","1516","201207_deldicque","159122295","","159122279",""
"201208","2012","diallo","Diallo","Malik","1","Paris capitale de guerre (1792-1794)","1792","1794","201208_diallo","159123631","","159123623",""
"201209","2012","dorsy","Dorsy","Lucie","2","« Car la vie menee sans doctrine semble à la mort qu’on paint ou ymagine ». Étude et édition critique de la traduction des <i>Disticha Catonis</i> par Jean Le Fèvre","1300","1400","201209_dorsy","159123194","","159123143",""
"201210","2012","driant","Driant","Pénélope","2","Maurice Farina, mime, archiviste et collectionneur (1883-1943)","1883","1943","201210_driant","159123577","","159123569",""
"201211","2012","figliuzzi","Figliuzzi","Cécile","2","Antoine et Henri-Auguste de Loménie, secrétaires d’État de la Maison du roi sous Henri IV et Louis XIII. Carrière politique et ascension sociale","1610","1643","201211_figliuzzi","159056284","","159056152",""
"201212","2012","gaumy","Gaumy","Tiphaine","2","Chapeaux, chapeliers et autres couvre-chefs à Paris (1550-1660). Aspects économiques, sociaux et symboliques","1550","1660","201212_gaumy","159187656","","159187524",""
"201213","2012","gendry","Gendry","Pauline","2","Liturgie et vie monastique  à l’abbaye bénédictine Saint-Martin de Savigny d’après son ordinaire médiéval. Édition critique et commentaire du ms. Archives départementales du Rhône, 1 H 20 (deuxième quart du <abbr>xiii</abbr><sup>e</sup> siècle)","1225","1250","201213_gendry","12855052X","","159190452",""
"201214","2012","koenig","Koenig","Nelly","2","L’École des arts décoratifs de Strasbourg de 1919 à 1939. Entre méthodes allemandes et méthodes françaises","1919","1939","201214_koenig","15912235X","","159122333",""
"201215","2012","landelle","Landelle","Marie","2","« Les plaintes en séparation sont éternelles » La séparation de biens dans la haute société parisienne au milieu du <abbr>xviii</abbr><sup>e</sup> siècle (1730-1761)","1730","1761","201215_landelle","159187028","","159186897",""
"201216","2012","le-corfec","Le Corfec","Delphine","2","Caxton imprimeur. Le troisième livre du <i>Recueil des histoires de Troyes</i>","1473","1474","201216_le-corfec","159123607","","159123593",""
"201217","2012","leon-y-barella","León y Barella","Alicia","2","Sauver l’écran en danger. Le cinéma américain en France (1926-1936). Domination et résistances","1926","1936","201217_leon-y-barella","159123909","","159123887",""
"201218","2012","leprevost","Leprevost-Grancher","Lucie","2","« Mon très cher père ». Étude et édition critique de la correspondance de Gabriel François de Brueys d’Aigalliers avec son père (1755-1782)","1755","1782","201218_leprevost","159123003","","159122988",""
"201219","2012","martin","Martin","Sophie","2","La <i>Nouvelle Revue française</i>, « entre Ordre et Aventure ». Jean Paulhan et Marcel Arland. Correspondance (1924-1929)","1924","1929","201219_martin","159123798","","15912378X",""
"201220","2012","michel","Michel","François","1","« Considérant le profond malaise qui règne chez les militants… ». Aspects de la critique et de la parole militante au Parti socialiste SFIO sous la <abbr>iv</abbr><sup>e</sup> République (1944-1958)","1944","1958","201220_michel","15905771X","","159057663",""
"201221","2012","milhat","Milhat","Morgane","2","L’histoire de Troie au <abbr>xv</abbr><sup>e</sup> siècle. Édition critique de la première traduction française de l’<i>Historia destructionis Troiae</i> de Guido delle Colonne","1400","1499","201221_milhat","159123712","","159123704",""
"201222","2012","mion-mouton","Mion Mouton","Fanny","2","Pratiques sociales et charitables en France dans la seconde moitié du <abbr>xviii</abbr><sup>e</sup> siècle. L’exemple de l’hôpital des Incurables de Paris","1700","1799","201222_mion-mouton","159122856","","159122759",""
"201223","2012","rohou","Rohou","Julie","2","Entre politique et religion. Les arts à la cour de Charles de Blois et Jeanne de Penthièvre","1300","1399","201223_rohou","159189586","","159189462",""
"201224","2012","torcheboeuf","Torchebœuf","Marie-Alpais","2"," Œuvrer à la propagation de la foi en Chine et à Rome. Joachim Enjobert de Martiliat (1706-1755). Illustration d’une vie de missionnaire","1706","1755","201224_torcheboeuf","159122449","","159122414",""
"201225","2012","vaisman","Vaisman","Jean-Baptiste","1","La correspondance de Thomas Perrenot de Chantonnay, ambassadeur espagnol à la cour de France (1559–1564). L’acculturation politique d’un diplomate franc-comtois","1559","1564","201225_vaisman","159057450","","159057388",""
"201226","2012","zanon","Zanon","Johanna","2","Quand la couture célèbre le corps féminin. Jean Patou (1919-1929)","1919","1929","201226_zanon","159056810","","159056756",""
"201101","2011","ancelin","Ancelin","Justine","2","Édition critique et étude du <i>Journal de la vie privée de Jean-Dominique Cassini</i> (1710-1712). Science, académisme et sociabilité savante","1710","1712","201101_ancelin","150852355","","150852312",""
"201102","2011","baudry","Baudry","Julien","1","La carrière du dessinateur Alain Saint-Ogan (1895-1974). De la presse à l’enfance","1895","1974","201102_baudry","150835272","","150835051",""
"201103","2011","berthier","Berthier","Sandrine","2","Les premières collections publiques d’égyptologie à Paris (1798-1914)","1798","1914","201103_berthier","150822804","","150822715",""
"201104","2011","boreau-de-roince","Boreau de Roincé","Gabrielle","2","Les jardins de Versailles au <abbr>xviii<sup>e</sup></abbr> siècle. Usages et spatialité","1700","1799","201104_boreau-de-roince","150834101","","15083389X",""
"201105","2011","caillot","Caillot","Marie","2","La revue <i>Mouseion</i> (1927-1946). Les musées et la coopération culturelle internationale","1927","1946","201105_caillot","150851758","","150851723",""
"201106","2011","cartier","Cartier","Aurore","2","Lafarge. De l’entreprise familiale à la multinationale (1880-1947)","1880","1947","201106_cartier","150310862","","150823568",""
"201107","2011","chouleur","Chouleur","Marie","2","Guillaume_Millet_de_Jeure, témoin de la vie politique du Grand_Siècle. Édition et étude du manuscrit 502 (153) de la bibliothèque Méjanes d’Aix-en-Provence","1620","1690","201107_chouleur","15083604X","","150835892",""
"201108","2011","codine","Codine-Trécourt","Florence","2","Les monnaies mérovingiennes modifiées à des fins non monétaires. Usages et perceptions des métaux précieux","450","750","201108_codine","150852959","","150852924",""
"201109","2011","costa","Costa","Andrea","2","G. W. Leibniz, <i>Dynamica de potentia et legibus naturæ corporæ</i>. Matériaux pour une édition critique","1689","1689","201109_costa","15082341X","","150823312",""
"201110","2011","crousillac","Crousillac","Maylis","2","Vivre la liturgie dans la cathédrale de Marseille au <abbr>xiv<sup>e</sup></abbr> siècle. Édition et étude de l’ordinaire de la Major","1300","1399","201110_crousillac","","","",""
"201111","2011","dolveck","Dolveck","Franz","1","Poétique de louange et d’éloge à Cluny au <abbr>xii<sup>e</sup></abbr> siècle. Édition critique des œuvres poétiques complètes de Pierre le Vénérable et de Pierre de Poitiers et du <i>Mariale</i> de Bernard de Morlas","1100","1199","201111_dolveck","150852665","","150852622",""
"201112","2011","ducasse","Ducasse","Loïc","1","Faire profession d’historien au <abbr>xvii<sup>e</sup></abbr> siècle. Étude de la carrière de Pierre Louvet (1617-1684)","1617","1684","201112_ducasse","150832303","","150832052",""
"201113","2011","gabaude","Gabaude","Elsa","2","Le gouvernement économique de l’Église au temps des papes d’Avignon (milieu du <abbr>xiv<sup>e</sup></abbr> siècle - début du <abbr>xv<sup>e</sup></abbr> siècle). L’usure en procès","1330","1450","201113_gabaude","150851901","","150851871",""
"201114","2011","gaillard","Gaillard","Rémi","1","« Après qu’il s’est assemblé marchands fripiers, tapissiers, revendeurs et autres citoyens » Étude institutionnelle des ventes révolutionnaires du mobilier royal. Versailles, Marly, Saint-Cloud, Bellevue (1793-1795)","1793","1795","201114_gaillard","150852053","","150852002",""
"201115","2011","gasnault","Gasnault","Hélène","2","Léonard Thiry (ca. 1500 - ca. 1550) dans l’ombre de Rosso","1495","1555","201115_gasnault","150821506","","150821158",""
"201116","2011","giry","Giry","Emmanuelle","2","Léon Bloy et le Moyen Âge l’imaginaire catholique renouvelé ?","1846","1917","201116_giry","150853122","","150853106",""
"201117","2011","gurrado","Gurrado","Maria","2","Les écritures cursives livresques en France (1250-1420). Essai de paléographie quantitative d’après le <i>Catalogue des manuscrits datés</i>.","1250","1420","201117_gurrado","15082310X","","150823045",""
"201118","2011","lecouffe","Lecouffe","Marie-Eugénie","2","Les <i>Nuits attiques </i>d’Aulu-Gelle au Moyen Âge et à la Renaissance. Histoire de la transmission d’un texte","115","1600","201118_lecouffe","150852177","","150852150",""
"201119","2011","marcotte","Marcotte","Pierre","1","Achille Millien (1838-1927). Une entreprise folkloriste en Nivernais","1838","1927","201119_marcotte","150822421","","150821948",""
"201120","2011","meissonnier","Meissonnier","Antoine","1","Le Gévaudan sous l’empire du roi. Le sens politique du procès et du paréage entre l’évêque de Mende et le roi de France (1269-1307)","1269","1307","201120_meissonnier","150834764","","150834616",""
"201121","2011","philippe","Philippe","Julie","2","À la découverte de l’art khmer. Louis Delaporte, fondateur du Musée indochinois et organisateur des missions scientifiques aux ruines khmères (1866-1900)","1866","1900","201121_philippe","15085319X","","150853173",""
"201122","2011","poiret","Poiret","Camille","2","Le sanctoral de l’ordinaire de Saint-Victor de Paris. Édition critique et commentaire","1108","1148","201122_poiret","150852533","","150852487",""
"201123","2011","torrens","Torrens","Antoine","1","La translittération des écritures orientales au début du <abbr>xvi<sup>e</sup></abbr> siècle. L’alphabet latin et l’hébreu dans les premiers imprimés parisiens","1500","1599","201123_torrens","150852843","","150852797",""
"201124","2011","vial","Vial","Charles-Éloi","1","Les chasses impériales de Napoléon I<sup>er</sup>","1799","1815","201124_vial","150832877","","150832672",""
"201001","2010","artaud","Artaud","Amandine","2","La noblesse d’Aunis sous Louis_XIV. Des recherches de faux nobles aux conséquences de la Révocation (1661-1715).","1661","1715","201001_artaud","143112414","","143112244",""
"201002","2010","bernard-schweitzer","Bernard-Schweitzer","Marion","2","Le collège de Notre-Dame-de-Bayeux, dit de Maître-Gervais, centre intellectuel et lieu de vie à Paris (XIV<sup>e</sup>-XV<sup>e</sup> siècles)","1300","1499","201002_bernard-schweitzer","143080695","","143080520",""
"201003","2010","billard","Billard","Alice","2","Georges_Lallemant. Étude des sources de la vie d’un peintre.","1575","1636","201003_billard","143095730","","143095552",""
"201004","2010","billoir","Billoir","Thibault","1","Jeu du roi et jeu de la reine aux <abbr>xvii<sup>e</sup></abbr> et <abbr>xviii<sup>e</sup></abbr> siècles. Du délassement personnel à la cérémonie de cour.","1600","1789","201004_billoir","143111752","","143111566",""
"201005","2010","bourlet","Bourlet","Léonard","1","Aménagement, paysage urbain et perception de l’eau. La Deûle à Lille (1858-1921).","1858","1921","201005_bourlet","143115375","","14311512X",""
"201006","2010","caron","Caron","Bertrand","1","Les coutumes du château de Limoges. Élaboration d’un droit urbain en pays de langue d’oc (XIII<sup>e</sup>-XIV<sup>e</sup> siècles)","1200","1399","201006_caron","143101722","","143101617",""
